hour,day_of_week,month,demand_index,weather,event_nearby,driver_availability,competitor_price_index,trip_distance_km,is_holiday,surge_multiplier
6,0,11,54.54,0,0,0.569,0.89,2.9,0,2.0369
19,6,2,5.2,0,1,0.748,1.213,9.18,0,1.7378
14,2,9,0.0,1,0,0.726,1.244,7.5,0,1.5204
10,1,6,24.51,0,0,0.988,1.055,15.87,1,1.8471
7,0,7,44.51,0,0,1.258,1.089,0.5,0,1.4784
20,5,4,11.31,0,0,0.86,1.121,10.27,0,1.1864
6,6,5,50.72,0,1,0.607,1.252,0.81,0,2.4554
18,5,1,0.0,0,0,1.033,1.034,4.35,0,1.0
22,6,4,15.13,0,0,1.497,0.896,7.9,0,1.0
10,1,8,33.88,0,0,1.174,1.293,6.22,0,1.4847
10,0,6,35.46,0,0,1.019,1.065,8.86,0,1.5941
23,1,7,10.02,1,1,0.543,0.876,1.62,0,2.1735
20,5,1,4.57,1,0,1.197,0.802,13.59,0,1.1783
3,5,7,46.69,0,0,1.409,0.972,10.86,0,1.3926
7,1,6,51.44,0,1,0.805,0.891,11.82,0,2.2168
23,6,4,28.82,0,0,1.302,0.977,0.5,0,1.181
2,1,2,45.77,0,0,1.185,1.094,4.0,0,1.5413
21,3,12,0.0,0,0,1.143,0.944,0.97,0,1.0
20,0,2,0.0,0,0,0.995,1.125,4.94,0,1.0
1,3,7,18.99,2,0,0.32,1.137,5.78,1,2.7953
23,1,3,11.55,1,1,1.144,0.735,8.94,0,1.8243
11,4,2,22.37,2,0,0.941,0.863,4.33,0,1.9843
5,5,10,61.24,0,0,0.666,0.949,11.38,0,2.0195
1,2,3,29.3,0,1,0.665,0.815,16.86,0,1.9801
20,0,10,0.0,0,1,1.0,1.045,0.5,0,1.4029
0,0,2,17.17,0,0,0.781,1.032,1.18,0,1.3889
11,5,11,46.8,0,0,1.097,0.813,3.09,0,1.6216
21,2,3,0.0,0,0,1.219,1.073,3.61,0,1.0
11,3,5,46.27,0,0,0.898,1.094,5.7,0,1.6942
16,2,10,0.0,2,0,0.719,1.03,0.5,0,1.9649
9,4,10,34.53,2,0,0.362,0.709,5.18,0,2.4454
15,1,10,0.0,0,0,0.942,0.842,9.07,0,1.0
14,2,5,0.0,0,0,1.289,0.935,20.62,0,1.0
14,6,7,17.51,0,0,1.289,1.003,3.36,0,1.052
18,2,10,0.0,2,0,0.864,1.104,37.47,0,1.6758
11,1,11,27.09,1,0,0.706,1.049,3.38,0,1.7677
22,5,3,23.42,0,1,1.169,0.936,0.5,0,1.5701
19,0,11,0.0,0,1,0.718,0.81,1.37,0,1.4497
2,5,3,51.89,0,1,0.915,1.304,7.01,0,2.2918
4,6,7,56.98,1,1,0.848,1.056,2.7,0,2.7853
18,4,6,0.0,2,0,0.867,1.166,4.44,0,1.8526
6,5,6,63.9,1,0,1.273,1.167,16.92,0,2.2668
20,2,4,0.0,0,0,0.971,1.018,9.6,0,1.0
8,2,11,56.64,0,0,1.025,1.124,12.88,0,1.881
6,0,4,50.68,0,1,0.643,0.941,1.41,0,2.3283
17,4,2,0.0,0,0,0.897,1.106,5.75,0,1.154
3,1,11,31.24,0,1,0.802,1.167,7.61,0,1.932
13,1,6,15.88,1,0,0.952,1.106,13.39,0,1.5511
17,3,10,0.0,1,0,0.818,1.051,2.76,0,1.3261
8,4,11,48.35,0,0,0.989,1.214,10.33,0,1.7485
20,4,3,0.0,0,1,0.431,1.014,0.5,0,1.8468
1,2,6,13.92,0,1,1.028,1.159,0.5,0,1.3613
19,3,12,0.0,1,0,0.635,0.984,0.5,0,1.3779
14,1,3,8.79,0,0,1.345,0.889,8.94,0,1.0
6,6,3,59.74,0,0,1.011,0.652,5.53,0,1.835
11,4,1,34.48,0,0,0.913,1.191,5.3,1,2.266
7,4,5,54.15,2,0,0.913,1.004,21.88,0,2.6944
14,0,2,15.34,0,1,0.545,0.962,2.12,0,1.7072
2,1,10,39.35,1,1,0.751,0.943,1.59,0,2.4422
13,0,12,12.48,0,0,1.258,1.018,2.68,0,1.0
